基金代码,基金简称,日期,日增长率,近一周,近一月,近三月,近六月,近一年,近2年,近3年,今年来,成立来
501018,南方原油A,2022-02-17,-0.42,-0.55,5.56,12.29,29.07,51.73,-1.04,-3.69,14.90,2.33
006476,南方原油C,2022-02-17,-0.42,-0.57,5.44,12.09,28.56,50.81,-2.04,-4.46,14.75,-27.85
160216,国泰大宗商品,2022-02-17,0.54,-0.27,5.93,10.95,27.55,51.21,-13.39,-18.66,15.03,-62.50
160416,华安标普全球石油指数,2022-02-17,-0.73,-0.89,2.26,10.39,25.85,39.82,26.90,20.75,13.36,27
001782,九泰久益混合A,2022-02-18,0.08,1.16,-1.52,6.26,25.82,35.97,90.72,122.04,-0.04,185.96
004685,金元顺安元启灵活配置混合,2022-02-18,0.92,3.13,3.53,18.38,25.73,57.78,123.26,150.25,5.36,173.22
001844,九泰久益混合C,2022-02-18,0.12,1.17,-1.55,6.20,25.69,35.71,90.02,119.93,-0.08,173.39
007178,浙商中华预期高股息A,2022-02-18,1.23,-1.24,9.82,27.31,23.06,38.33,38.36,,16.50,38.47
165513,信诚全球商品主题,2022-02-17,0.21,0,5.25,8.82,23.02,40.64,24.94,19.95,13.44,-51.90
007216,浙商中华预期高股息C,2022-02-18,1.22,-1.25,9.78,27.20,22.86,37.86,37.42,,16.44,37.39
003298,嘉实物流产业股票A,2022-02-18,1.13,-1.22,-0.46,6.78,22.44,20.40,68.09,127.21,1.17,159.70
501015,财通多策略升级混合(LOF),2022-02-18,1.53,-1.73,5.57,17.29,22.34,1.53,24.12,44.73,6.23,19.40
003299,嘉实物流产业股票C,2022-02-18,1.15,-1.24,-0.47,6.63,22.11,19.82,66.47,124.69,1.11,155.70
005851,财通新视野灵活配置混合A,2022-02-18,1.44,-1.54,5.89,18.09,21.85,0.66,38.69,89.22,7.09,95.79
005959,财通新视野灵活配置混合C,2022-02-18,1.44,-1.55,5.82,17.85,21.36,-0.14,36.49,84.73,6.98,90.14
011229,创金合信数字经济主题股票A,2022-02-18,0.87,2.28,-1.50,3.19,20.01,55.14,,,-4.03,61.33
011230,创金合信数字经济主题股票C,2022-02-18,0.86,2.27,-1.53,3.06,19.72,54.37,,,-4.09,60.47
002662,前海开源沪港深大消费混合A,2022-02-18,0.91,-0.52,6.36,12.61,19.57,-8.35,64.17,101.34,8.05,110.80
002663,前海开源沪港深大消费混合C,2022-02-18,0.92,-0.57,6.36,12.61,19.50,-8.45,63.79,100.77,8.01,109
008952,中信建投桂企债A,2022-02-18,-0.03,-0.23,17.11,18.17,18.73,21.70,,,17.50,22.86
161815,银华抗通胀主题,2022-02-17,0.47,0.31,4.93,8.32,18.59,33.19,35.74,38.10,10.57,-36.20
002085,长盛互联网+混合,2022-02-18,-0.06,0.61,-6.17,-1.74,18.06,1.23,49.59,64.92,-7.29,64.10
006199,长盛同锦研究精选混合,2022-02-18,-0.07,0.64,-6.24,-1.88,17.99,2.99,52.40,,-7.46,67.66
008953,中信建投桂企债C,2022-02-18,-0.03,-0.24,17.09,18.11,17.83,20.65,,,17.46,21.63
005585,银河文体娱乐混合,2022-02-18,-0.87,-1.34,-17.08,-1.75,17.01,8.27,-1.40,60.04,-13.45,60.30
005223,广发中证基建工程ETF联接A,2022-02-18,1.79,1.76,3.62,16.63,16.83,34.07,30.28,20.29,6.67,-5.44
005224,广发中证基建工程ETF联接C,2022-02-18,1.79,1.75,3.59,16.56,16.71,33.79,29.75,19.78,6.63,-5.97
006567,中泰星元灵活配置混合A,2022-02-18,1.38,-0.91,1.42,8.82,16.68,19.83,90.31,130.94,2.69,137.52
001892,长盛新兴成长混合,2022-02-18,-0.05,0.61,-6.34,-2.25,16.67,0.40,59.86,96.17,-7.64,99.50
006624,中泰玉衡价值优选混合,2022-02-18,1.40,-0.93,1.29,9.02,16.61,21.73,98.60,,2.62,109.96
009686,华夏磐利一年定开混合A,2022-02-18,0.73,1.38,-7.83,3.97,16.60,54.34,,,-8.88,65.88
012724,国泰中证畜牧养殖ETF联接A,2022-02-18,0.87,-2.18,-0.41,4.06,16.59,,,,0.12,7.59
012940,中泰星元灵活配置混合C,2022-02-18,1.38,-0.92,1.39,8.72,16.46,,,,2.65,17.38
165525,信诚中证基建工程指数(LOF)A,2022-02-18,1.74,1.69,3.39,16.01,16.43,32.71,26,9.15,6.44,-11.95
012725,国泰中证畜牧养殖ETF联接C,2022-02-18,0.87,-2.19,-0.43,3.98,16.41,,,,0.08,7.39
009687,华夏磐利一年定开混合C,2022-02-18,0.73,1.37,-7.86,3.87,16.36,53.71,,,-8.92,64.85
004475,华泰柏瑞富利混合A,2022-02-18,0.58,1.47,1.31,6.12,16.32,38.80,93.01,116.16,2.67,74.33
003175,华泰柏瑞多策略混合,2022-02-18,0.54,1.39,1.19,6.55,16.29,37.33,58.42,76.15,3.17,92.99
000729,建信中小盘先锋股票A,2022-02-18,1.49,3.51,-2.46,-8.26,16.27,33.09,127.27,206.68,-9.85,280.90
378546,上投摩根全球天然资源混合,2022-02-17,-0.33,0.02,2.76,12.67,16.25,23.04,27.76,27.94,11.50,-11.08
519212,万家宏观择时多策略混合,2022-02-18,5.22,1.78,8.26,26.58,16.01,6.02,19.03,38,16.78,50.56
090019,大成景恒混合A,2022-02-18,0.85,2,-2.94,9.60,15.81,38.27,60.03,94.03,-0.60,187.29
006038,大成景恒混合C,2022-02-18,0.83,1.97,-3.03,9.40,15.49,37.44,58.10,90.46,-0.68,114.69
001955,中欧养老产业混合A,2022-02-18,0.47,-0.59,-5.22,3.30,15.39,20.66,65.58,165.72,-2.80,219.40
519191,万家新利灵活配置混合,2022-02-18,5.22,1.45,7.72,25.13,15.26,10.26,19.97,29.59,15.80,72.74
009512,天弘添利债券(LOF)E,2022-02-18,1.20,-3.94,-3.15,1.16,15.15,44.25,,,-4.61,40.01
519185,万家精选混合,2022-02-18,5.06,1.09,6.72,25.69,15.07,0.96,13.71,21.76,14.62,186.65
164206,天弘添利债券(LOF)C,2022-02-18,1.20,-3.96,-3.18,1.07,14.94,43.75,38.66,56.69,-4.66,181.29
012778,中欧养老产业混合C,2022-02-18,0.47,-0.63,-5.30,3.08,14.93,,,,-2.93,19.02
000756,建信潜力新蓝筹股票A,2022-02-18,1.41,3.09,-2.51,-9.06,14.88,22.20,103.25,168.20,-9.95,237.40
011174,中庚价值品质一年持有期混合,2022-02-18,1.12,0.31,3.81,17.25,14.71,51.55,,,10.04,50.78
005161,华商上游产业股票,2022-02-18,0.97,1.83,-1.32,3.49,14.62,32.13,99.81,165.42,-1.76,128.98
008114,天弘中证红利低波动100A,2022-02-18,1.61,0.10,0.30,11.82,14.55,23.90,41.06,,2.90,31.67
008115,天弘中证红利低波动100C,2022-02-18,1.61,0.09,0.28,11.77,14.43,23.65,40.48,,2.87,31.07
006551,中庚价值领航混合,2022-02-18,1.06,0.49,2.33,16.87,14.42,43.46,67.71,111.65,8.71,135.65
005505,前海开源中药股票A,2022-02-18,0.25,1.05,-9.28,9.94,14.39,18.21,33.39,67.11,-9.34,108.65
519702,交银趋势混合A,2022-02-18,0.16,0.72,-4.73,0.86,14.38,68.27,182.24,260.82,-5.22,568.22
005506,前海开源中药股票C,2022-02-18,0.25,1.05,-9.30,9.87,14.25,17.91,32.70,66.03,-9.37,107.21
168204,中融中证煤炭指数(LOF),2022-02-18,3.30,2.05,7.62,19.55,14.16,65.73,106.19,92.92,9.99,20.77
010826,大成产业趋势混合A,2022-02-18,0.81,0.73,-2.46,-1.56,14.15,36.10,,,-8.88,36.20
002258,大成国企改革灵活配置混合,2022-02-18,0.81,1.14,-2.53,-0.66,14.07,56.12,172.51,291.09,-8.52,246.90
001810,中欧潜力价值灵活配置混合A,2022-02-18,1.58,1.03,-4.15,6.54,14.06,23.16,52.19,81.04,-1.06,137.84
519677,银河定投宝腾讯济安指数,2022-02-18,0.87,0.80,-2.81,2,14.03,28.18,77.09,111.31,-1.51,200.70
166024,中欧恒利三年定期开放混合,2022-02-18,1.53,0.65,-3.61,7.19,14,24.15,45.71,61.31,-0.26,47.27
005561,创金合信红利低波动A,2022-02-18,2.03,0,3.02,13.92,13.98,31.06,58.63,72.01,6.14,58.28
010728,中泰兴诚价值一年持有混合A,2022-02-18,1.20,-1.09,2.96,12.20,13.93,24.79,,,4.64,25.06
008928,泰达消费红利指数A,2022-02-18,0.97,-0.21,-1.07,3.39,13.92,18.67,,,-4.04,82.88
001300,大成睿景灵活配置混合A,2022-02-18,1.02,1.07,-2.34,-0.84,13.91,34.48,180.11,304.10,-7.19,146.50
005562,创金合信红利低波动C,2022-02-18,2.03,-0.01,3,13.86,13.86,30.79,58,71.02,6.10,57.12
008929,泰达消费红利指数C,2022-02-18,0.97,-0.22,-1.09,3.32,13.78,18.38,,,-4.07,82.03
010827,大成产业趋势混合C,2022-02-18,0.81,0.72,-2.53,-1.76,13.70,35.02,,,-8.98,35.11
501029,华宝标普中国A股红利机会指数A,2022-02-18,1.97,-0.01,0.36,8.97,13.68,23.61,39.22,49.59,1.41,41.49
008809,安信民稳增长混合A,2022-02-18,1.16,-0.46,3.11,11.88,13.65,22.89,33.43,,7.63,33.47
010729,中泰兴诚价值一年持有混合C,2022-02-18,1.20,-1.10,2.92,12.06,13.65,24.15,,,4.56,24.42
005764,中欧潜力价值灵活配置混合C,2022-02-18,1.53,1.02,-4.24,6.31,13.61,22.20,49.74,76.62,-1.19,56.81
011027,国寿安保稳弘混合A,2022-02-18,0.26,1.31,0.02,-0.29,13.54,,,,-1.98,25.63
011028,国寿安保稳弘混合C,2022-02-18,0.26,1.30,0.02,-0.31,13.48,,,,-2,26.03
001301,大成睿景灵活配置混合C,2022-02-18,0.95,1.04,-2.43,-1.10,13.47,33.39,175.77,294.75,-7.31,133.30
005125,华宝标普中国A股红利机会指数C,2022-02-18,1.96,-0.03,0.33,8.86,13.44,23.11,38.12,47.80,1.36,28.14
008810,安信民稳增长混合C,2022-02-18,1.16,-0.46,3.08,11.77,13.43,22.40,32.37,,7.58,32.36
008269,大成睿享混合A,2022-02-18,0.33,-0.27,0.47,5.52,13.22,20.28,51.74,,3.59,53.05
006926,长城量化精选股票A,2022-02-18,0.94,4.07,2.76,-0.99,13.16,9.49,39.04,,-5.96,53.24
010963,信达澳银周期动力混合,2022-02-18,0.45,2.10,-4.27,-9.80,13.12,53.87,,,-8.94,57.35
519002,华安安信消费混合A,2022-02-18,0.93,0.43,-3.03,-2.49,13.07,25.28,115.02,283.70,-6.15,492.89
006748,富国中证价值ETF联接A,2022-02-18,1.84,0.13,0.24,11.22,13.05,20.44,61.21,78.16,3.38,94.84
008686,大成景优中短债A,2022-02-18,-0.04,0.03,0.18,1.45,13.03,21.93,,,0.63,23.95
008270,大成睿享混合C,2022-02-18,0.33,-0.28,0.42,5.40,12.99,19.80,50.56,,3.51,51.76
011463,长城量化精选股票C,2022-02-18,0.94,4.07,2.72,-1.11,12.85,8.92,,,-6.03,11.56
007191,富国中证价值ETF联接C,2022-02-18,1.84,0.12,0.20,11.11,12.82,19.93,59.90,,3.33,53.09
166005,中欧价值发现混合A,2022-02-18,1.68,0.75,-4.58,6.20,12.73,18.94,44.71,67.25,-1.52,327.04
001882,中欧价值发现混合E,2022-02-18,1.68,0.75,-4.57,6.20,12.73,18.94,44.72,67.30,-1.52,139.93
012728,国泰中证动漫游戏ETF联接A,2022-02-18,0.92,1.19,-10.81,-7.80,12.62,,,,-12.59,-0.76
000049,中银标普全球资源等权重指数,2022-02-17,-0.26,0.91,1.90,5.56,12.50,21.45,37.79,43.24,6.43,55.70
012729,国泰中证动漫游戏ETF联接C,2022-02-18,0.92,1.19,-10.84,-7.86,12.45,,,,-12.63,-0.95
090018,大成新锐产业混合,2022-02-18,0.90,1.02,-2.81,-1.74,12.29,35.48,185.93,318.66,-7.85,762.52
420005,天弘周期策略混合,2022-02-18,1.20,0.89,-2.64,-0.30,12.28,8.55,85.80,141.79,-6,300.44
004232,中欧价值发现混合C,2022-02-18,1.68,0.74,-4.64,5.98,12.28,17.99,42.42,63.08,-1.62,84.52
004350,汇丰晋信价值先锋股票,2022-02-18,1.02,0.23,-4.99,-0.53,12.18,15.88,63.27,124.60,-7.08,139.51
007466,华泰柏瑞中证低波动ETF联接A,2022-02-18,1.99,0.01,2.95,13.18,12.12,24.04,44.29,,6.13,47.25
006212,东方臻选纯债债券A,2022-02-18,-0.01,0,0.21,0.85,12.09,16.14,17.63,24.29,0.45,27.11
011905,安信价值启航混合A,2022-02-18,2.12,-0.39,2.24,13.11,12.09,,,,5.66,13.44
161032,富国中证煤炭指数(LOF)A,2022-02-18,3.33,2.03,7.82,19.68,12.07,61.68,104.26,109.96,10.19,19.07
006213,东方臻选纯债债券C,2022-02-18,-0.01,-0.01,0.20,0.83,12.06,16.04,17.43,23.94,0.43,65.64
007467,华泰柏瑞中证低波动ETF联接C,2022-02-18,1.98,0.01,2.93,13.11,11.98,23.72,43.57,,6.09,46.08
001656,农银中国优势灵活配置混合,2022-02-18,0.75,0.88,-4.97,-1.62,11.97,12.46,84.09,173.10,-9.45,144.86
519756,交银国企改革灵活配置混合,2022-02-18,0.54,0.44,-1.20,2.54,11.95,12.07,74.51,129.77,-1.67,106.10
006898,天弘弘丰增强回报债券A,2022-02-18,1.49,-3.30,-2.39,1.97,11.87,37.77,28.51,,-4.15,35.28
011906,安信价值启航混合C,2022-02-18,2.11,-0.39,2.20,13,11.86,,,,5.61,13.15
002236,大成360互联网+大数据100A,2022-02-18,0.82,0.76,-3.48,5.08,11.85,42.45,44.61,96.12,-1.94,71.80
000772,景顺长城中国回报灵活配置混合,2022-02-18,3.70,-1.30,0,11.94,11.82,-3.31,35.27,95.97,3.13,104.40
166020,中欧成长优选混合A,2022-02-18,1.44,1.09,-2.96,8.65,11.80,23.32,58.21,85.72,0.33,155.56
001891,中欧成长优选混合E,2022-02-18,1.43,1.09,-2.96,8.64,11.80,23.32,58.21,86.13,0.33,117.93
501089,方正富邦消费红利指数增强(LOF),2022-02-18,0.90,-0.28,-1.14,2.62,11.78,7.06,51.36,,-4.32,49.80
007751,景顺中证红利成长低波动A,2022-02-18,1.26,-0.53,0.64,11.14,11.73,18.73,18.72,,4.07,17.18
162607,景顺长城资源垄断混合,2022-02-18,3.81,-1.38,0,11.71,11.71,-3.72,23.33,110.28,2.90,784.41
010429,中欧睿见混合,2022-02-18,0.37,-0.83,-5.21,1.73,11.67,10.80,,,-3.52,14.24
006899,天弘弘丰增强回报债券C,2022-02-18,1.50,-3.30,-2.42,1.88,11.66,37.24,27.51,,-4.19,33.73
008477,安信价值驱动三年持有混合,2022-02-18,2.15,-0.31,2.22,13.04,11.65,16.23,66.55,,5.57,73.33
007760,景顺中证红利成长低波动C,2022-02-18,1.26,-0.53,0.63,11.07,11.60,18.44,18.14,,4.04,16.48
164818,工银中证传媒指数(LOF)A,2022-02-18,0.70,0.23,-11.21,-2.79,11.57,-9.09,-19.04,6.87,-12.14,-74.28
501030,汇添富中证环境治理指数A,2022-02-18,0.54,3.04,-0.72,2.39,11.56,24.42,13.89,15.48,-3.43,-34.88
000574,宝盈新价值混合A,2022-02-18,0.91,1.62,2.68,4.67,11.52,-12.36,76.29,129.92,-0.43,315.15
003359,大成360互联网+大数据100C,2022-02-18,0.79,0.72,-3.58,4.84,11.50,41.60,42.81,92.61,-2.06,48
000893,工银创新动力股票,2022-02-18,1.02,-0.20,0.30,7.83,11.47,17.42,54.84,93.55,2.48,-0.90
010677,工银中证传媒指数(LOF)C,2022-02-18,0.71,0.23,-11.23,-2.83,11.44,-9.30,,,-12.18,-11.90
501031,汇添富中证环境治理指数C,2022-02-18,0.55,3.03,-0.74,2.30,11.36,23.93,12.97,14.38,-3.47,-35.48
005717,兴业机遇债券A,2022-02-18,0.39,-0.40,-0.99,2.48,11.28,21.31,22.74,41.74,-1.31,47.66
164908,交银中证环境治理(LOF)A,2022-02-18,0.55,3.16,-0.66,2.14,11.27,22.28,8.72,6.68,-3.46,-43.14
161618,融通岁岁添利定开债A,2022-02-18,0.09,-0.09,0.09,1.06,11.16,11.92,6.09,10.72,0.26,66.85
090013,大成竞争优势混合,2022-02-18,0.37,-0.13,-1.26,2.90,11.15,17.56,52.69,49.85,0.67,224.97
000536,前海开源可转债债券,2022-02-18,0.21,-1.89,-7.04,0.07,11.09,33.33,64.07,79.26,-7.93,107.31
007574,宝盈新价值混合C,2022-02-18,0.90,1.62,2.63,4.46,11.09,-13.06,73.42,,-0.55,79.91
008222,兴业机遇债券C,2022-02-18,0.38,-0.42,-1.02,2.37,11.05,20.82,26.29,,-1.37,40.84
160639,鹏华中证高铁产业指数(LOF),2022-02-18,1.43,1.10,2.56,10.27,10.94,12.15,15.89,12.16,4.18,-60.05
121010,国投瑞银瑞源灵活配置混合,2022-02-18,0.82,0.24,-0.51,4.50,10.90,17.07,68.88,150.88,-0.82,295.45
671010,西部利得策略优选混合A,2022-02-18,1.82,-1.22,0.28,15.63,10.88,10.46,47.32,77.47,-0.41,45.70
008279,国泰中证煤炭ETF联接A,2022-02-18,3.27,1.94,7.70,19.16,10.85,64.08,108.40,,10.11,108.21
161619,融通岁岁添利定开债B,2022-02-18,0,-0.18,-0.09,0.89,10.82,11.36,5.26,9.47,0.18,61.38
090007,大成策略回报混合,2022-02-18,0.52,-0.51,-1.11,3.25,10.77,14.43,46.12,81.24,0.84,618.99
007671,建信中证红利潜力指数A,2022-02-18,1.63,-0.14,1.56,9.07,10.73,-12.08,38.97,,2.13,40.29
240004,华宝动力组合,2022-02-18,2.47,0.68,0.92,7.17,10.68,12.67,56.81,130.29,1.79,1217.30
008280,国泰中证煤炭ETF联接C,2022-02-18,3.26,1.93,7.67,19.07,10.68,63.58,107.20,,10.06,106.95
000991,工银战略转型股票A,2022-02-18,1.95,0.15,-0.20,13.04,10.65,20.61,133.74,253.37,2.91,303.20
011060,西部利得策略优选混合C,2022-02-18,1.83,-1.23,0.21,15.47,10.62,9.86,,,-0.48,17.44
160135,南方中证高铁产业指数(LOF),2022-02-18,1.42,1.02,2.54,10.32,10.58,11.12,7.03,2.76,4.11,-51.34
009849,安信稳健聚申一年持有期混合A,2022-02-18,0.70,-0.42,2.02,8.56,10.53,16.40,,,5.23,21.96
007672,建信中证红利潜力指数C,2022-02-18,1.63,-0.14,1.53,8.96,10.51,-12.43,37.85,,2.08,38.88
008163,南方大盘红利50ETF联接A,2022-02-18,1.09,-1.08,1.45,10.50,10.48,15.94,30.42,,2.32,30.48
001266,国投瑞银招财混合,2022-02-18,0.91,0.09,-0.89,4.52,10.47,14.41,50.54,169.50,-1.16,118.78
010381,浙商智选价值混合A,2022-02-18,0.69,-1.64,3.40,6.90,10.47,,,,5.84,13.97
003715,宝盈消费主题混合,2022-02-18,0.73,1.31,1.53,3.21,10.40,-10.69,48.60,110.49,-2.31,90.89
011473,工银战略转型股票C,2022-02-18,1.93,0.12,-0.25,12.86,10.37,20.01,,,2.85,24.79
161222,国投瑞银瑞利混合(LOF),2022-02-18,0.86,0.16,-0.44,4.34,10.34,15.71,68.94,121.97,-0.52,155.35
161624,融通可转债债券A,2022-02-18,1.16,-1.74,-5.35,-0.33,10.30,26.29,29.17,45.37,-6.10,33.38
090017,大成可转债增强债券,2022-02-18,1.21,-2.39,-4.94,-2.62,10.28,21.67,32.36,58.88,-7.16,68.87
008164,南方大盘红利50ETF联接C,2022-02-18,1.09,-1.09,1.42,10.38,10.25,15.49,29.38,,2.25,29.41
010661,安信稳健聚申一年持有期混合C,2022-02-18,0.71,-0.43,1.97,8.42,10.25,15.82,,,5.16,19.24
010382,浙商智选价值混合C,2022-02-18,0.68,-1.65,3.36,6.77,10.20,,,,5.77,13.49
519995,长信金利趋势混合A,2022-02-18,0.78,3.05,-4.97,-1.22,10.09,17.13,75.13,150.47,-6.21,543.93
161625,融通可转债债券C,2022-02-18,1.16,-1.74,-5.38,-0.43,10.07,25.80,28.14,43.65,-6.15,29.66
001763,广发多策略混合,2022-02-18,1.19,-1.32,1.74,7.51,10.04,17.26,90.74,119.56,5.34,87.50
007937,华夏饲料豆粕期货ETF联接A,2022-02-18,1.61,-0.38,18.88,22.84,10.03,8.60,39.84,,17.80,40.11
006618,长江可转债债券A,2022-02-18,1.26,-1.82,-3.31,2.98,9.97,18.50,32.98,55.29,-3.75,56.69
007423,西部利得聚禾混合A,2022-02-18,1.59,-2.18,0.14,13.63,9.97,8.56,,,-0.54,17.04
160629,鹏华中证传媒指数(LOF),2022-02-18,0.76,0.32,-10.84,-3.33,9.94,-11.27,-17.68,9.33,-12.52,-33.19
007424,西部利得聚禾混合C,2022-02-18,1.58,-2.18,0.12,13.59,9.90,8.44,,,-0.56,16.85
001479,中邮风格轮动灵活配置混合,2022-02-18,0.44,0.12,-1.70,1.52,9.87,42.16,126.49,152.89,-5.33,183.78
320018,诺安新动力灵活配置混合A,2022-02-18,0.45,-0.50,-3.89,0.35,9.86,3.49,72.16,143.52,-4.08,346.31
161834,银华鑫锐灵活配置混合(LOF)A,2022-02-18,1.09,-0.15,-0.66,2.42,9.86,21.07,104.11,148.35,-0.82,98.19
007938,华夏饲料豆粕期货ETF联接C,2022-02-18,1.61,-0.38,18.86,22.76,9.86,8.27,38.99,,17.75,39.23
001583,安信新常态股票A,2022-02-18,2.14,-0.29,2.46,13.39,9.84,11.67,44.52,75.32,6.06,117.47
001445,华安国企改革主题灵活配置混合,2022-02-18,1.37,-0.79,-0.31,-2.95,9.81,4.48,92.53,199.08,-3.28,291.80
501022,银华鑫盛灵活配置混合(LOF)A,2022-02-18,1.09,-0.12,-0.68,2.59,9.81,19.25,94.54,192.27,-0.68,149.60
006619,长江可转债债券C,2022-02-18,1.26,-1.83,-3.35,2.88,9.76,18.03,31.92,53.61,-3.80,54.78
006809,泰康香港银行指数A,2022-02-18,0.07,-2.40,4.67,13.45,9.75,8.72,1.35,,13.19,-2.67
161724,招商中证煤炭等权指数(LOF)A,2022-02-18,3.91,2.43,6.39,16.22,9.73,55.62,110.74,103.88,9.38,22.86
008687,大成景优中短债C,2022-02-18,-0.04,0.03,0.18,1.43,9.72,18.43,,,0.62,20.32
007497,中庚价值灵动灵活配置混合,2022-02-18,1.18,0.89,-1.59,7.43,9.69,50.86,85.52,,1.04,117.54
004752,广发中证传媒ETF联接A,2022-02-18,0.71,0.21,-10.82,-3.31,9.68,-12.26,-20.99,4.43,-12.29,-25.23
002291,诺安安鑫灵活配置混合,2022-02-18,-0.41,1.87,-7.08,-3.64,9.64,5.70,99.33,192.25,-8.50,165.63
000433,安信鑫发优选混合A,2022-02-18,0.57,-0.30,-5.49,-5.44,9.64,24.59,88.23,128.02,-6.77,152.42
011726,安信新常态股票C,2022-02-18,2.14,-0.30,2.43,13.27,9.63,,,,6,9.72
001628,招商体育文化休闲股票,2022-02-18,0.42,-0.06,-12.84,0.30,9.61,0.42,59.62,138.75,-13.39,67.60
004753,广发中证传媒ETF联接C,2022-02-18,0.70,0.20,-10.84,-3.36,9.56,-12.44,-21.31,4.24,-12.33,-25.31
006810,泰康香港银行指数C,2022-02-18,0.06,-2.41,4.63,13.33,9.53,8.29,0.54,,13.12,-3.76
007605,嘉实沪深300红利低波动ETF联接A,2022-02-18,1.06,-1.33,1.29,8.97,9.48,7.58,21.68,,2.92,16.47
012891,安信鑫发优选混合C,2022-02-18,0.57,-0.30,-5.52,-5.53,9.42,,,,-6.82,19.35
007130,中庚小盘价值股票,2022-02-18,1.17,1.07,-3.47,5.58,9.40,64.67,101,,-0.71,130.26
001208,诺安低碳经济股票A,2022-02-18,0.90,-0.27,-3.29,1.68,9.34,20.47,64.65,110.74,-2.57,123.60
008941,华泰紫金周周购3月滚动债A,2022-02-18,0.45,-1.50,-1.84,0.24,9.29,15.13,,,-1.99,15.01
000480,东方红新动力混合,2022-02-18,0.69,-0.73,-4.74,2.89,9.28,10.04,54.69,77.36,-5.06,321.23
000598,长盛生态环境混合,2022-02-18,-0.91,4.35,-6.54,-5.70,9.28,18.65,56.06,109.67,-8.15,214.30
010709,安信医药健康股票A,2022-02-18,0.71,3.35,-10.34,-3.77,9.28,20.06,,,-12.35,25.20
007606,嘉实沪深300红利低波动ETF联接C,2022-02-18,1.06,-1.32,1.26,8.87,9.27,7.16,20.71,,2.87,15.45
012413,建信睿怡纯债C,2022-02-18,-0.03,0.01,0.29,1.84,9.27,,,,1.36,10.15
007115,金元顺安桉盛债券C,2022-02-18,0.09,0.10,8.52,8.84,9.22,9.58,16.49,,7.77,16.49
002342,融通增益债券A/B,2022-02-18,0.08,-0.16,-0.16,1,9.18,12.21,8.50,12.84,0.25,32.85
501025,鹏华香港银行指数(LOF)A,2022-02-18,0.06,-2.38,4.72,13.10,9.16,7.61,1.76,-2.25,13.20,10.95
